 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
06001;LIBRILLA;37,8846557;-1,347129;CALLE ESTACION FERROCARRIL, S/N;30892;Librilla;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06001.pdf;
06002;ALHAMA DE MURCIA;37,849345;-1,41449;CALLE ESTACION FERROCARRIL, 14;30840;Alhama de Murcia;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06002.pdf;
06003;TOTANA;37,763466;-1,495614;CALLE REYES CATOLICOS, 13;30850;Totana;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06003.pdf;
06004;LA HOYA;37,703913;-1,595604;CARRETERA DEL HINOJAR, S/N;30816;Lorca;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06004.pdf;
06005;LORCA-SAN DIEGO;37,680714;-1,685644;CALLE CANAL DE SAN DIEGO, S/N;30800;Lorca;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06005.pdf;
06006;LORCA-SUTULLENA;37,6720698;-1,6962742;CALLE ALAMEDA DE MENCHIRON, S/N;30800;Lorca;Murcia;;
06007;PUERTO LUMBRERAS;37,58099;-1,731906;AVENIDA ESTACION FERROCARRIL, 23;30891;Puerto Lumbreras;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06007.pdf;
06008;ALCANTARILLA-LOS ROMANOS;37,964247;-1,216971;CALLE SECRETARIO RUIZ PALAZON, S/N;30820;Alcantarilla;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06008.pdf;
06100;ALMENDRICOS;37,47474;-1,779549;CALLE ESTACION FERROCARRIL, S/N;30893;Lorca;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion06100.pdf;
07001;PULPI;37,399982;-1,75019;CALLE FERROCARRIL, 1;4640;Pulpí;Almería;https://data.renfe.com/files/estaciones/FichaEstacion07001.pdf;
07003;JARAVIA;37,392451;-1,693058;CALLE PILAR, S/N;4648;Pulpí;Almería;https://data.renfe.com/files/estaciones/FichaEstacion07003.pdf;
07004;AGUILAS;37,4098453;-1,5728388;CALLE JUAN PABLO II, 7;30880;Águilas;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion07004.pdf;
07007;AGUILAS-EL LABRADORCICO;37,411862;-1,58588;CALLE BUEN SUCESO, S/N;30880;Águilas;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion07007.pdf;
60911;ALACANT-TERMINAL;38,3444718;-0,494986;AVENIDA SALAMANCA, 1;3005;Alicante/Alacant;Alicante/Alacant;;
60913;SANT VICENT CENTRE;38,3446978;-0,4957583;VIAL DEL TERRAPLEN, S/N;3690;San Vicente del Raspeig/Sant Vicent del Raspeig;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion60913.pdf;
60914;UNIVERSIDAD DE ALICANTE;38,3446978;-0,4957583;CARRETERA DE SAN VICENTE DEL RASPEIG - ESTACION FERROCARRIL, S/N;3690;Alicante/Alacant;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion60914.pdf;
61200;MURCIA DEL CARMEN;37,9747921;-1,1315294;PLAZA DE LA INDUSTRIA, S/N;30002;Murcia;Murcia;;
62001;BENIEL;38,0450344;-0,9990651;CAMINO DE LA ESTACION, 15;30130;Beniel;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion62001.pdf;
62002;ORIHUELA MIGUEL HERNANDEZ;38,076976;-0,9457302;AVENIDA TEODOMIRO, 68;3300;Orihuela;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62002.pdf;
62003;CALLOSA DE SEGURA;38,1232945;-0,873864;PASEO ESTACION FERROCARRIL, S/N;3360;Callosa de Segura;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62003.pdf;
62100;SAN ISIDRO-ALBATERA-CATRAL;38,1670053;-0,8379982;CAMINO DE LA ESTACION, 16;3349;Albatera;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62100.pdf;
62101;CREVILLENTE;38,2243441;-0,7813096;BARRIO ESTACION FERROCARRIL, S/N;3330;Crevillent;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62101.pdf;
62102;ELX-CARRUS;38,2685601;-0,7081489;AVENIDA DE LA LIBERTAD, S/N;3201;Elche/Elx;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62102.pdf;
62103;ELX-PARC;38,2726;-0,6918606;AVENIDA DEL FERROCARRIL, 10;3202;Elche/Elx;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62103.pdf;
62104;TORRELLANO;38,2893867;-0,5831663;CALLE CASA CAMPO TORRELLANO ALTO P3, 82;3320;Elche/Elx;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62104.pdf;
62109;SANT GABRIEL;38,3254162;-0,5110989;AVENIDA DE ELCHE, S/N;3005;Alicante/Alacant;Alicante/Alacant;https://data.renfe.com/files/estaciones/FichaEstacion62109.pdf;
